Time,Ads
13-09-2017 00:00,80115
13-09-2017 01:00,79885
13-09-2017 02:00,89325
13-09-2017 03:00,101930
13-09-2017 04:00,121630
13-09-2017 05:00,116475
13-09-2017 06:00,106495
13-09-2017 07:00,102795
13-09-2017 08:00,108055
13-09-2017 09:00,116125
13-09-2017 10:00,131030
13-09-2017 11:00,149020
13-09-2017 12:00,157590
13-09-2017 13:00,150715
13-09-2017 14:00,149295
13-09-2017 15:00,150100
13-09-2017 16:00,144780
13-09-2017 17:00,150690
13-09-2017 18:00,163840
13-09-2017 19:00,166235
13-09-2017 20:00,139520
13-09-2017 21:00,105895
13-09-2017 22:00,96780
13-09-2017 23:00,82520
14-09-2017 00:00,80125
14-09-2017 01:00,75335
14-09-2017 02:00,85105
14-09-2017 03:00,102080
14-09-2017 04:00,125135
14-09-2017 05:00,118030
14-09-2017 06:00,109225
14-09-2017 07:00,102475
14-09-2017 08:00,102240
14-09-2017 09:00,115840
14-09-2017 10:00,130540
14-09-2017 11:00,144325
14-09-2017 12:00,148970
14-09-2017 13:00,149150
14-09-2017 14:00,148040
14-09-2017 15:00,148810
14-09-2017 16:00,149830
14-09-2017 17:00,150570
14-09-2017 18:00,149440
14-09-2017 19:00,150520
14-09-2017 20:00,129130
14-09-2017 21:00,103815
14-09-2017 22:00,92175
14-09-2017 23:00,82765
15-09-2017 00:00,76315
15-09-2017 01:00,75130
15-09-2017 02:00,82640
15-09-2017 03:00,88795
15-09-2017 04:00,118430
15-09-2017 05:00,115190
15-09-2017 06:00,110940
15-09-2017 07:00,98860
15-09-2017 08:00,104185
15-09-2017 09:00,108665
15-09-2017 10:00,126640
15-09-2017 11:00,140435
15-09-2017 12:00,152470
15-09-2017 13:00,146275
15-09-2017 14:00,148020
15-09-2017 15:00,147735
15-09-2017 16:00,145750
15-09-2017 17:00,149285
15-09-2017 18:00,159725
15-09-2017 19:00,161085
15-09-2017 20:00,135520
15-09-2017 21:00,112945
15-09-2017 22:00,100200
15-09-2017 23:00,87615
16-09-2017 00:00,87835
16-09-2017 01:00,88845
16-09-2017 02:00,92350
16-09-2017 03:00,104465
16-09-2017 04:00,115940
16-09-2017 05:00,128950
16-09-2017 06:00,141385
16-09-2017 07:00,144440
16-09-2017 08:00,143250
16-09-2017 09:00,133190
16-09-2017 10:00,131240
16-09-2017 11:00,142480
16-09-2017 12:00,157375
16-09-2017 13:00,152500
16-09-2017 14:00,153735
16-09-2017 15:00,151195
16-09-2017 16:00,150645
16-09-2017 17:00,147435
16-09-2017 18:00,152525
16-09-2017 19:00,146875
16-09-2017 20:00,125245
16-09-2017 21:00,117925
16-09-2017 22:00,96700
16-09-2017 23:00,93610
17-09-2017 00:00,89060
17-09-2017 01:00,89345
17-09-2017 02:00,90575
17-09-2017 03:00,98290
17-09-2017 04:00,112570
17-09-2017 05:00,129470
17-09-2017 06:00,141405
17-09-2017 07:00,152560
17-09-2017 08:00,152580
17-09-2017 09:00,141170
17-09-2017 10:00,147550
17-09-2017 11:00,161110
17-09-2017 12:00,166335
17-09-2017 13:00,166780
17-09-2017 14:00,163140
17-09-2017 15:00,157305
17-09-2017 16:00,159055
17-09-2017 17:00,160020
17-09-2017 18:00,168345
17-09-2017 19:00,169900
17-09-2017 20:00,142710
17-09-2017 21:00,112955
17-09-2017 22:00,97345
17-09-2017 23:00,81675
18-09-2017 00:00,79510
18-09-2017 01:00,78350
18-09-2017 02:00,88045
18-09-2017 03:00,99790
18-09-2017 04:00,123780
18-09-2017 05:00,111325
18-09-2017 06:00,99440
18-09-2017 07:00,97655
18-09-2017 08:00,97655
18-09-2017 09:00,102565
18-09-2017 10:00,119930
18-09-2017 11:00,135755
18-09-2017 12:00,140120
18-09-2017 13:00,141730
18-09-2017 14:00,142220
18-09-2017 15:00,145360
18-09-2017 16:00,145335
18-09-2017 17:00,150410
18-09-2017 18:00,161520
18-09-2017 19:00,153415
18-09-2017 20:00,134720
18-09-2017 21:00,107065
18-09-2017 22:00,95045
18-09-2017 23:00,79515
19-09-2017 00:00,78335
19-09-2017 01:00,74670
19-09-2017 02:00,81990
19-09-2017 03:00,97950
19-09-2017 04:00,119345
19-09-2017 05:00,113115
19-09-2017 06:00,98880
19-09-2017 07:00,94000
19-09-2017 08:00,93660
19-09-2017 09:00,104185
19-09-2017 10:00,119750
19-09-2017 11:00,135990
19-09-2017 12:00,146455
19-09-2017 13:00,139165
19-09-2017 14:00,147225
19-09-2017 15:00,144935
19-09-2017 16:00,151370
19-09-2017 17:00,156080
19-09-2017 18:00,161385
19-09-2017 19:00,165010
19-09-2017 20:00,134090
19-09-2017 21:00,105585
19-09-2017 22:00,92855
19-09-2017 23:00,79270
20-09-2017 00:00,79980
20-09-2017 01:00,78110
20-09-2017 02:00,85785
20-09-2017 03:00,100010
20-09-2017 04:00,123880
20-09-2017 05:00,116335
20-09-2017 06:00,104290
20-09-2017 07:00,101440
20-09-2017 08:00,97635
20-09-2017 09:00,108265
20-09-2017 10:00,121250
20-09-2017 11:00,140850
20-09-2017 12:00,138555
20-09-2017 13:00,140990
20-09-2017 14:00,141525
20-09-2017 15:00,141590
20-09-2017 16:00,140610
20-09-2017 17:00,139515
20-09-2017 18:00,146215
20-09-2017 19:00,142425
20-09-2017 20:00,123945
20-09-2017 21:00,101360
20-09-2017 22:00,88170
20-09-2017 23:00,76050
21-09-2017 00:00,70335
21-09-2017 01:00,72150
21-09-2017 02:00,80195
21-09-2017 03:00,94945
21-09-2017 04:00,121910
21-09-2017 05:00,113950
21-09-2017 06:00,106495
21-09-2017 07:00,97290
21-09-2017 08:00,98860
21-09-2017 09:00,105635
21-09-2017 10:00,114380
21-09-2017 11:00,132335
21-09-2017 12:00,146630
21-09-2017 13:00,141995
21-09-2017 14:00,142815
21-09-2017 15:00,146020
21-09-2017 16:00,152120
21-09-2017 17:00,151790
21-09-2017 18:00,155665
21-09-2017 19:00,155890
21-09-2017 20:00,123395
21-09-2017 21:00,103080
21-09-2017 22:00,95155
21-09-2017 23:00,80285
